ideTarifaFornecimento,nomConcessao,SigDistribuidora,SigRegiao,VlrTUSDConvencional,VlrTEConvencional,VlrTotaTRFConvencional,VlrTRFBrancaPonta,VlrTRFBrancaIntermediaria,VlrTRFBrancaForaPonta,NumResolucao,DthInicioVigencia,DthProcessamento
360,Permissionária,CERSAD,S ,0.34097,0.17998,0.52095,0.95685,0.67996,0.40306,2488/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
361,Permissionária,Cersul,S ,0.24118,0.13451,0.37569,0.67158,0.48363,0.29568,2461/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
362,Permissionária,Certaja,S ,0.30194,0.31426,0.61620,0.97371,0.66414,0.54030,2543/2019,01/05/2019 00:00:00,26/07/2019 00:00:00
363,Permissionária,Certel,S ,0.29084,0.13203,0.42287,0.77337,0.53969,0.30603,2425/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
364,Permissionária,CERTHIL,S ,0.30778,0.19110,0.49888,0.82995,0.60619,0.38243,2467/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
365,Permissionária,Certrel,S ,0.49179,0.06067,0.55246,1.28828,0.82089,0.35345,2453/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
366,Permissionária,CERVAM,SE,0.43925,0.19221,0.63146,1.35178,0.91590,0.48001,2493/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
367,Permissionária,Cetril,SE,0.41933,0.29671,0.71604,1.14536,0.84153,0.53771,2476/2018,01/10/2018 00:00:00,26/07/2019 00:00:00
368,Concessionária,Chesp,CO,0.36130,0.21509,0.57639,1.26210,0.79884,0.45699,2483/2018,01/11/2018 00:00:00,26/07/2019 00:00:00
369,Concessionária,Cocel,S ,0.29578,0.26134,0.55712,1.29846,0.54791,0.39492,2563/2019,01/06/2019 00:00:00,26/07/2019 00:00:00
370,Permissionária,CODESAM,S ,0.19047,0.16991,0.36038,0.59137,0.44463,0.29789,2494/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
371,Concessionária,Coelba,NE,0.32248,0.22965,0.55213,1.20736,0.75355,0.44559,2533/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
372,Permissionária,Coopera,S ,0.20384,0.13423,0.33807,0.57873,0.42584,0.27295,2462/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
373,Concessionária,Cooperaliança,S ,0.26867,0.15990,0.42857,0.81932,0.52239,0.31915,2440/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
374,Permissionária,Coopercocal,S ,0.31288,0.11624,0.42912,0.85606,0.58487,0.31368,2465/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
375,Permissionária,Cooperluz,S ,0.19120,0.26086,0.45206,0.61093,0.50356,0.39619,2426/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
376,Permissionária,Coopermila,S ,0.27048,0.20493,0.47541,0.81868,0.60064,0.38260,2458/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
377,Permissionária,COOPERNORTE,S ,0.51549,0.16334,0.67883,1.51899,1.01059,0.50219,2516/2018,01/12/2018 00:00:00,26/07/2019 00:00:00
378,Permissionária,COOPERSUL,S ,0.33930,0.20830,0.54760,1.05009,0.74602,0.44194,2515/2018,01/12/2018 00:00:00,26/07/2019 00:00:00
379,Permissionária,COOPERZEM,S ,0.34270,0.18110,0.52380,0.93050,0.67215,0.41379,2489/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
380,Permissionária,Coorsel,S ,0.32729,0.22972,0.55701,1.00537,0.72056,0.43575,2463/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
381,Concessionária,Copel-DIS,S ,0.24370,0.27391,0.51761,0.94276,0.60704,0.44426,2559/2019,01/06/2019 00:00:00,26/07/2019 00:00:00
382,Permissionária,Coprel,S ,0.32383,0.20206,0.52589,0.89885,0.64679,0.39472,2427/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
383,Concessionária,Cosern,NE,0.25466,0.25087,0.50553,1.08190,0.67392,0.42532,2532/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
384,Concessionária,CPFL Paulista,SE,0.24526,0.27776,0.52302,0.90279,0.58211,0.43500,2526/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
385,Concessionária,CPFL Piratininga,SE,0.22418,0.32874,0.55292,0.86471,0.55588,0.43243,2472/2018,01/10/2018 00:00:00,26/07/2019 00:00:00
386,Concessionária,CPFL Santa Cruz (nova),SE,0.30399,0.24370,0.54769,0.95745,0.61795,0.42826,2522/2019,01/03/2019 00:00:00,26/07/2019 00:00:00
387,Permissionária,Creluz-D,S ,0.36064,0.17803,0.53867,0.96503,0.67553,0.38604,2428/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
388,Permissionária,Creral,S ,0.41109,0.13987,0.55096,1.04363,0.70907,0.37450,2429/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
389,Concessionária,Demei,S ,0.30134,0.20569,0.50703,1.03623,0.66101,0.40928,2573/2019,01/07/2019 00:00:00,26/07/2019 00:00:00
390,Concessionária,DMED,SE,0.24117,0.25649,0.49766,0.90052,0.57283,0.38527,2485/2018,01/11/2018 00:00:00,26/07/2019 00:00:00
391,Concessionária,EBO,NE,0.24981,0.25757,0.50738,1.04455,0.64632,0.41241,2523/2019,01/02/2019 00:00:00,26/07/2019 00:00:00
