"","Ano","Órgão Orçamentário","Função","Unidade Orçamentária","Programa","Ação","Localizador","Plano Orçamentário","Grupo de Despesa","Modalidade de Aplicação","Resultado Primário","Fonte","Subfunção","Projeto de Lei","Dotação Inicial","Dotação Atual","Empenhado","Liquidado","Pago"
"13",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1400 - Desenvolvimento de Foguetes de Sondagem","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","572 - Desenvolvimento Tecnológico e Engenharia",1493000,1448210,0,0,0,0
"14",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,355,430.397,430.397,430.397
"15",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,130,11.6,11.6,11.6
"16",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","571 - Desenvolvimento Científico",500,485,0,0,0,0
"17",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","4 - Investimentos","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,95,95,95,95
"18",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","571 - Desenvolvimento Científico",95,95,0,0,0,0
"19",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2458 - Capacitação de Recursos Humanos para a Área Espacial","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","128 - Formação de Recursos Humanos",0,0,240.202,163.591,163.591,163.591
"20",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2458 - Capacitação de Recursos Humanos para a Área Espacial","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","128 - Formação de Recursos Humanos",1400000,1260000,0,0,0,0
"21",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2459 - Regulamentações, Licenças e Certificações Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","100 - Recursos Ordinários","125 - Normatização e Fiscalização",0,0,58.2,58.2,58.2,58.2
"22",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","2459 - Regulamentações, Licenças e Certificações Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","175 - Taxas por Serviços Públicos","125 - Normatização e Fiscalização",60,58.2,0,0,0,0
