"","Código","Empresa","ANO","COD&ANO","col","1. DEC Apurada","1.1. DEC Limite","1.2. DEC V8","2. FEC Apurada","2.1. FEC Limite","2.2. FEC V8","5. DGC","6. UC Total","7. UC AT","8. UC MT","9. UC BT","10. Mercado Total","11. Mercado AT","12. Mercado MT","13. Mercado BT","14. Peso AT","15. Peso MT","16. Peso BT","18. Custos Operacionais","18.0. Ind Salarial","18.1. Custos Operacionais H","18.2. Pessoal","18.3. Materiais","18.4. Serv Terceiros","18.5. Seguros","18.6. Tributos","18.7. Outros","18.8. Estagiario","18.9. Comunicacao","19. Cond. Trab.","19.1. Cond. Trab. H","19.3. Cond. Civeis H","19.5. Cond. Fiscais H","19.7. Cond. Ambientais H","19.9. Cond. Outras H","20. Contrib. CCEE","20.1. Contrib. CCEE H","21. Custos de Desativacao","21.1. Custos de Desativacao H","23. QRR","24. RC","25. Remuneracao OE","26. Ligacoes PLPT","26.1. Ligacoes PLPT sobre UC","27. Demanda Total","28. Demanda AT","29. Demanda MT","30. Demanda BT","34. PNT Medidas","35. Meta PNT","37. Rede","38. Rede BT","39. Rede MT","40. Rede AT","40.1. Rede 69","40.2. Rede 88_138","40.3. Rede 230","41. Rede Aerea","42. Rede Sub","43. Trafos Distribuicao","45. Trafos AT","45.1. Trafos 69","45.2. Trafos 88_138","45.3. Trafos 230","46. Subestacoes MT","47. Subestacoes AT","47.1. Subestacoes 69","47.2. Subestacoes 88_138","47.3. Subestacoes 230","48. MVA Total","49. MVA MT","50. MVA AT","50.1. MVA 69","50.2. MVA 88_138","50.3. MVA 230","51.1. Precipitacao","51.2. Descargas","51.3.1. Veg Urbana Ausente","51.3.2. Veg Urbana 0,25-5m","51.3.3. Veg Urbana 5-20m","51.3.4. Veg Urbana 20-30m","51.3.5. Veg Urbana 30-50m","51.3.6. Veg Urbana Nao Clas","51.3.7. Veg Rural Ausente","51.3.8. Veg Rural 0,25-5m","51.3.9. Veg Rural 5-20m","51.3.10. Veg Rural 20-30m","51.3.11. Veg Rural 30-50m","51.3.12. Veg Rural Nao Clas","51.3.13. Altura Ponderada Urb","51.3.14. Altura Ponderada Rural","51.4. Declividade","51.5. Pavimentacao","51.5.1. Acessos Pavimentados","51.5.2. Acesso Nao Pavimentado","51.5.3. Interseccoes Pav","51.5.4. Interseccoes Nao Pav","51.6. Area Atuacao","51.6.1. Area Atuacao Rur","51.6.2. Area Atuacao Urb","51.7. Irradiacao","51.8. Queimadas","51.9. Temperatura","51.10. Área de Conservação","51.11. Terras Indígenas","57. Potencia GD","58. UC GD","59. Potencia GD por Demanda Tot","60. UC GD por UC Total","61. Compensacoes Q","62. Compensacoes Reais"
"11","D08","CEAL",2000,"2000D08",3,35.09,48.17,NA,25.5,56.95,NA,0.588111446091114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9497200218865,NA,NA,NA,NA,NA,NA,NA,NA
"12","D09","CEB",2000,"2000D09",3,15.4,20.23,NA,14.36,26.38,NA,0.652798728196626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9252858194313,NA,NA,NA,NA,NA,NA,NA,NA
"13","D10","CEEE",2000,"2000D10",3,22.71,31.37,NA,19.69,34.42,NA,0.647995601596436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0984872242517,NA,NA,NA,NA,NA,NA,NA,NA
"14","D11","CELESC",2000,"2000D11",3,21.95,35.83,NA,17.9,22.56,NA,0.703027421650307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9845597800995,NA,NA,NA,NA,NA,NA,NA,NA
"15","D12","CELG",2000,"2000D12",3,15.71,39.73,NA,17.19,47.02,NA,0.380504094899183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8000457470472,NA,NA,NA,NA,NA,NA,NA,NA
"16","D13","CELPA",2000,"2000D13",3,27.99,41.96,NA,29.87,52.45,NA,0.61827931363203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5574496748121,NA,NA,NA,NA,NA,NA,NA,NA
"17","D14","CELPE",2000,"2000D14",3,16.34,35.1,NA,15.34,42.76,NA,0.412136778787855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7559420381578,NA,NA,NA,NA,NA,NA,NA,NA
"18","D15","CELTINS",2000,"2000D15",3,42.91,69.17,NA,40.31,73.61,NA,0.583985729289968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0674556407156,NA,NA,NA,NA,NA,NA,NA,NA
"19","D16","CEMAR",2000,"2000D16",3,38.67,34.02,NA,29.03,47.43,NA,0.874372090532748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9899265806277,NA,NA,NA,NA,NA,NA,NA,NA
"20","D17","EMT",2000,"2000D17",3,29.22,44.53,NA,39.8,56.09,NA,0.682880369711554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3179551007903,NA,NA,NA,NA,NA,NA,NA,NA
