"","Função","Programa","Grupo.de.Despesa","Modalidade.de.Aplicação","Resultado.Primário","Projeto.de.Lei","Dotação.Inicial","Dotação.Atual","Empenhado","Liquidado","Pago"
"73","19","0464","3","90","2",1400000,1400000,1e+06,745.857,745.857,745.857
"74","19","0464","3","90","2",70,70,70,4.328,4.328,4.328
"75","19","0464","4","90","2",20,20,20,0,0,0
"76","19","0464","3","50","2",399.33,399.33,800,800,800,800
"77","19","0464","3","50","2",400.67,400.67,0,0,0,0
"78","19","0464","4","50","2",99.833,99.833,200,200,200,200
"79","19","0464","4","50","2",100.167,100.167,0,0,0,0
"80","19","0464","3","90","2",0,0,1e+06,1e+06,1e+06,0
"81","19","0464","4","90","2",0,0,1.6e+07,1.6e+07,1.6e+07,1.6e+07
"82","19","0464","4","90","2",0,0,4e+06,4e+06,4e+06,0
"83","19","0464","3","90","2",37.8,37.8,37.8,26.967,26.967,26.967
"84","19","0464","3","90","2",2.496,2.496,5,4.443,4.443,4.443
"85","19","0464","3","90","2",2.504,2.504,0,0,0,0
"86","19","0464","3","90","1",22.462,22.462,45,41.027,41.027,41.027
"87","19","0464","3","90","1",22.538,22.538,0,0,0,0
"88","19","0464","3","90","1",39.933,39.933,95,92.046,92.046,92.046
"89","19","0464","3","90","1",40.067,40.067,0,0,0,0
"92","19","0464","3","50","2",27.454,27.454,93.2,93.086,93.086,93.086
"93","19","0464","3","50","2",27.546,27.546,0,0,0,0
"94","19","0464","3","90","2",1458555,1458555,3210803,3210081,3210081,2935368
"95","19","0464","3","90","2",1463448,1463448,0,0,0,0
"96","19","0464","4","50","2",0,0,6.8,6.8,6.8,6.8
"97","19","0464","4","90","2",149.749,149.749,293.2,288.226,288.226,267.902
"98","19","0464","4","90","2",150.251,150.251,0,0,0,0
"99","19","0464","3","90","2",424.288,424.288,5558000,4307041,4307041,222.523
"100","19","0464","3","90","2",0,0,760,760,760,0
"101","19","0464","3","90","2",425.712,425.712,0,0,0,0
"102","19","0464","4","90","2",0,0,540,0,0,0
"103","19","0464","3","90","2",1996652,1996652,0,0,0,0
"104","19","0464","3","90","2",2003348,2003348,0,0,0,0
"105","19","0464","4","90","2",998.326,998.326,0,0,0,0
"106","19","0464","4","90","2",1001674,1001674,0,0,0,0
"107","19","0464","3","90","2",2375266,2375266,4758500,4746682,4746682,2229276
"108","19","0464","3","90","2",2383234,2383234,0,0,0,0
"109","19","0464","4","90","2",1667953,1667953,11741500,4322936,4322936,2658706
"110","19","0464","4","90","2",0,0,2e+06,2e+06,2e+06,586.783
"111","19","0464","4","90","2",1673547,1673547,0,0,0,0
"112","19","0464","3","90","2",42.429,42.429,85,84.645,84.645,40.714
"113","19","0464","3","90","2",42.571,42.571,0,0,0,0
"114","19","0464","3","90","2",698.828,698.828,1400000,1040138,1040138,29.873
"115","19","0464","3","90","2",701.172,701.172,0,0,0,0
"116","19","0464","4","90","2",99.833,99.833,200,106.253,106.253,52.5
"117","19","0464","4","90","2",100.167,100.167,0,0,0,0
"118","19","0464","3","90","2",349.414,349.414,700,468.41,468.41,136.268
"119","19","0464","3","90","2",350.586,350.586,0,0,0,0
"120","19","0464","4","90","2",149.749,149.749,300,260.46,260.46,72.465
"121","19","0464","4","90","2",150.251,150.251,0,0,0,0
"122","19","0464","3","90","2",6489117,6489117,1.3e+07,11999463,11999463,7864463
"123","19","0464","3","90","2",6510883,6510883,0,0,0,0
"124","19","0464","4","90","2",99.833,99.833,200,70.191,70.191,6.361
"125","19","0464","4","90","2",100.167,100.167,0,0,0,0
"126","19","0464","3","90","2",3234743,3234743,9e+06,6404827,6404827,2673046
"127","19","0464","3","90","2",0,0,6770000,6541953,6541953,338.326
"128","19","0464","3","90","2",3245257,3245257,0,0,0,0
"129","19","0464","4","90","2",2156384,2156384,6020000,4130686,4130686,2353130
"130","19","0464","4","90","2",0,0,5e+06,4825762,4825762,622.097
"131","19","0464","4","90","2",2163616,2163616,0,0,0,0
"132","19","0464","3","90","2",436.767,436.767,875,875,875,566.006
"133","19","0464","3","90","2",0,0,1470000,1430753,1430753,0
"134","19","0464","3","90","2",438.233,438.233,0,0,0,0
"135","19","0464","4","90","2",187.186,187.186,375,375,375,130.572
"136","19","0464","4","90","2",187.814,187.814,0,0,0,0
"137","19","0464","3","90","2",499.164,499.164,1150000,1079340,1079340,1079340
"138","19","0464","3","90","2",500.836,500.836,0,0,0,0
"139","05","0464","3","90","2",100,100,100,92.89,92.89,92.89
"140","19","0464","3","50","2",749.79,749.79,749.79,749.79,749.79,749.79
"141","19","0464","4","50","2",700,700,700,700,700,700
"143","19","0464","4","90","2",9e+06,7650000,7650000,7650000,7650000,7650000
"144","19","0464","3","90","2",47.46,47.46,47.46,23.721,23.721,23.721
"145","19","0464","3","90","2",6.5,6.5,6.5,2.85,2.85,2.85
"146","19","0464","3","90","1",56,56,53,31.031,31.031,31.031
"147","19","0464","3","90","1",95,95,98,94.094,94.094,94.094
"148","19","0464","3","90","2",0,330,330,330,330,330
"149","19","0464","4","90","2",0,20,20,20,20,47
"150","19","0464","3","90","2",0,4310000,4310000,4309583,4309583,2981737
"151","19","0464","4","90","2",0,1500000,1500000,1500000,1500000,405.72
"153","19","0464","3","50","2",415,402.55,499.812,499.812,499.812,422.293
"154","19","0464","3","90","2",4266750,4142431,4045169,4043357,4043357,3544233
"155","19","0464","4","90","2",500,500,500,499.881,499.881,488.891
"156","19","0464","3","50","2",0,0,322,322,322,322
"157","19","0464","3","90","2",1260000,1260000,938,938,938,75.028
"158","19","0464","4","90","2",540,540,540,537.712,537.712,785
"159","19","0464","3","90","2",0,860,860,860,860,429.811
"160","19","0464","4","90","2",0,500,500,500,500,287.1
"161","19","0464","3","90","2",0,64990000,64990000,64910540,64910540,40773802
"162","19","0464","4","90","2",0,13132500,13132500,13123290,13123290,5445951
"163","19","0464","3","90","2",5800000,5626000,5626000,5626000,5626000,5626000
"164","19","0464","4","90","2",200,200,200,0,0,0
"165","19","0464","4","90","2",2e+07,3.7e+07,21500000,21509426,21509426,11779411
"166","19","0464","3","90","2",0,4450000,4450000,4445215,4445215,2151622
"167","19","0464","4","90","2",0,1e+06,1e+06,999.4,999.4,338.741
"168","19","0464","3","90","2",0,4465000,4465000,4403349,4403349,2198656
