"CO_MES";"SG_UF_NCM";"N_PRODUTOS";"N_PAIS";"N_VIAS";"N_URF";"KG_LIQUIDO";"VL_FOB"
5;"RN";64;38;5;21;52339404;14668670
5;"RO";191;51;6;22;159450705;107871816
5;"RR";36;7;4;5;1357519;744786
5;"RS";1874;171;6;37;2783283010;1742690370
5;"SC";1669;161;7;34;723030659;692359477
5;"SE";26;25;5;10;1794583;3627614
5;"SP";3730;188;9;60;4592624454;4031716548
5;"TO";21;30;5;8;583871224;244904215
6;"AC";28;10;4;6;1854259;1490655
6;"AL";22;35;3;13;70875226;25932784
6;"AM";219;63;6;21;17157699;50417173
6;"AP";8;10;2;6;52249609;19807110
6;"BA";420;94;6;32;805644862;659622478
6;"CE";282;90;6;32;352001143;242786231
6;"DF";44;24;5;10;63667379;30941755
6;"ES";320;90;5;26;2756693055;643606416
6;"GO";332;95;5;30;1239017625;707281640
6;"MA";20;25;3;8;1008200118;496174222
6;"MG";1352;138;6;41;14714949671;2023654824
6;"MS";173;72;6;25;1738226664;675683614
6;"MT";78;81;6;27;3503001354;1511743668
6;"ND";2091;117;6;49;62053238;537149767
6;"PA";146;80;6;26;19131348253;1275296478
6;"PB";42;31;4;16;2846089;7986203
6;"PE";158;58;5;26;232855276;198332726
6;"PI";9;23;2;8;229444123;96510735
6;"PR";1765;163;6;37;3262798465;1888863368
6;"RE";274;47;5;18;1112449;199711423
6;"RJ";1069;112;6;35;5447915150;1968812386
6;"RN";70;41;5;22;37772518;11897558
6;"RO";71;51;6;21;186899283;107446937
6;"RR";49;7;4;5;1300109;713841
6;"RS";1962;167;6;43;2026619941;1453980840
6;"SC";1747;159;6;35;656617127;713278866
6;"SE";30;32;5;12;1425349;4665169
6;"SP";3883;185;7;55;4011154240;4427622201
6;"TO";23;25;4;9;316688512;132643458
7;"AC";38;11;4;8;2804407;1538100
7;"AL";16;18;4;8;5699071;3153901
7;"AM";191;50;5;14;7452253;34637170
7;"AP";6;6;4;5;27712864;14079906
7;"BA";358;81;6;33;1261881103;822324828
7;"CE";213;76;6;25;346295625;246478988
7;"DF";39;34;4;8;34031252;22969041
7;"ES";304;86;5;23;3434716923;625723250
7;"GO";285;105;5;27;1289336582;703057112
7;"MA";27;33;4;10;828613949;385985655
7;"MG";1360;136;6;38;14359752597;1985040147
7;"MS";191;85;6;23;1463399541;586537794
7;"MT";70;97;7;27;4569786672;1758357881
7;"ND";1176;87;5;42;41126079;299960321
7;"PA";126;92;7;25;20438313066;1558030302
7;"PB";25;32;4;15;21062591;6606581
7;"PE";151;60;5;26;109745915;129838624
7;"PI";14;17;3;8;230687531;95278799
7;"PR";1735;169;6;31;2613262356;1658805740
7;"RE";206;28;4;17;737307;6481507
7;"RJ";1056;108;6;40;9501757810;5157537797
7;"RN";76;36;5;18;188645243;14500173
7;"RO";116;52;6;21;230959318;137805397
7;"RR";58;5;4;5;872751;565853
7;"RS";1891;164;6;34;2093346534;1399266499
7;"SC";1839;170;6;38;859828399;891507134
7;"SE";24;18;5;8;2920377;6329014
7;"SP";3951;187;6;57;3560221287;3807713816
7;"TO";16;34;5;8;376751013;164422897
8;"AC";49;12;4;8;2301974;2458641
8;"AL";20;27;4;10;12353207;181065490
8;"AM";295;56;5;17;8971502;48804275
8;"AP";7;9;4;5;79570047;25509092
8;"BA";535;89;6;33;1164082700;868728204
8;"CE";582;83;5;26;170210933;144322741
8;"DF";41;30;5;10;44508368;27684863
8;"ES";446;92;5;23;3234439792;675121571
8;"GO";225;97;6;29;1363291286;792721091
8;"MA";70;29;3;9;782880255;355658019
8;"MG";1378;140;7;42;15359593153;2043354155
8;"MS";170;75;5;20;1392981922;527236639
8;"MT";77;99;5;28;4139163404;1334298002
8;"ND";252;51;6;36;112924642;74211089
8;"PA";152;94;5;23;19430869282;1303071026
8;"PB";33;35;4;15;2568959;9358173
8;"PE";195;63;5;23;50637169;157835601
8;"PI";13;19;4;11;307963005;120458689
8;"PR";1973;163;6;33;2641067060;1746496259
8;"RE";297;11;4;11;155923;4837754
8;"RJ";1382;107;8;30;4297806250;2043173172
8;"RN";71;43;5;20;57304129;16041165
8;"RO";68;51;6;20;108464071;105897556
8;"RR";70;6;4;6;1405119;1032697
8;"RS";2147;168;7;34;2449405643;2966392561
8;"SC";2026;169;7;36;1094729220;977752409
8;"SE";21;23;4;8;2339973;5760097
8;"SP";4339;192;7;57;4451301482;4834149158
8;"TO";31;43;4;12;383384117;159262534
