"CO_MES";"SG_UF_MUN";"N_PRODUTOS";"N_PAIS";"N_MUNICIPIOS";"KG_LIQUIDO";"VL_FOB"
6;"MS";361;71;27;881179629;333958776
6;"MT";37;68;56;1220281266;571486573
6;"PA";99;80;51;19379457539;1358568777
6;"PB";24;30;13;2754755;7773677
6;"PE";143;56;20;254165980;210651881
6;"PI";7;16;11;50657531;23685769
6;"PR";677;157;146;2200655776;1427693433
6;"RJ";507;107;39;6193781011;2443659317
6;"RN";82;40;21;37459844;11949503
6;"RO";60;48;18;71523917;56681139
6;"RR";44;5;3;2339174;1286369
6;"RS";642;163;186;1764424236;1348585211
6;"SC";592;160;160;2998623562;1680889518
6;"SE";15;31;9;1419822;4868491
6;"SP";955;186;314;7646741688;6320932561
6;"TO";14;21;17;72681318;33941680
7;"AC";83;11;5;3606906;1930896
7;"AL";15;19;6;5678762;3174343
7;"AM";115;48;6;5186188;32321856
7;"AP";5;5;2;27689030;13532735
7;"BA";180;78;73;1033066651;724554861
7;"CE";108;76;34;345554967;246137405
7;"DF";37;32;1;10259969;13134786
7;"ES";154;86;39;3558979804;678946534
7;"GO";123;88;49;499286556;384297027
7;"MA";19;27;15;493489366;252423501
7;"MG";501;125;183;13285303971;1781795902
7;"MS";386;80;28;810977869;328504758
7;"MT";37;78;58;1940350582;863403802
7;"PA";91;91;44;20571419548;1595287686
7;"PB";17;29;14;20983458;5828179
7;"PE";121;60;20;264064270;206712145
7;"PI";13;14;13;24083441;11536825
7;"PR";680;159;151;2205837097;1476238002
7;"RJ";461;105;39;10493573796;5519076932
7;"RN";39;33;16;188351501;14445063
7;"RO";96;48;17;116616159;86725794
7;"RR";43;4;2;1101937;750675
7;"RS";629;161;177;1870287484;1305903581
7;"SC";617;171;159;2535531332;1542130012
7;"SE";16;18;7;2920150;6322718
7;"SP";927;186;311;7487725956;5376520936
7;"TO";10;28;17;99793666;52897273
8;"AC";61;12;6;3159920;2747276
8;"AL";14;27;5;12318267;181096815
8;"AM";148;56;9;8510251;47646729
8;"AP";6;7;2;79569960;22409963
8;"BA";274;87;84;867114043;746926254
8;"CE";301;83;35;165374882;140689790
8;"DF";30;32;1;12078730;15013432
8;"ES";206;91;43;3385119502;739857193
8;"GO";131;85;50;636119719;533887860
8;"MA";49;27;12;481565216;240777089
8;"MG";524;133;205;13554461750;1955009112
8;"MS";304;73;33;864338469;339711481
8;"MT";43;85;60;1467177446;649391624
8;"PA";99;93;47;19599646605;1328603162
8;"PB";22;34;12;2544735;9045152
8;"PE";136;63;22;234492479;241801354
8;"PI";10;15;15;80137454;33217304
8;"PR";700;158;155;2319590436;1584539075
8;"RJ";545;105;39;6368549938;2262037303
8;"RN";40;43;20;56882651;15801302
8;"RO";50;48;15;53440194;80565147
8;"RR";47;5;2;1376192;1023895
8;"RS";684;168;195;2138009209;2830819726
8;"SC";653;169;162;2560387417;1464924391
8;"SE";14;21;7;2339390;5760223
8;"SP";987;193;330;8112718790;6036778111
8;"TO";15;31;15;79650942;42611960
9;"AC";62;12;6;3392440;2170343
9;"AL";18;32;5;32848127;13625143
9;"AM";158;60;6;9767711;72792222
9;"AP";7;8;2;42416588;14543678
9;"BA";237;90;86;784296333;730208467
9;"CE";176;78;39;166945626;136220402
9;"DF";68;31;1;7432944;12209240
9;"ES";300;102;44;3680204039;1001854062
9;"GO";141;98;50;724206661;473161862
9;"MA";76;37;10;572126532;303991300
9;"MG";515;137;210;12228571866;1922929896
9;"MS";322;76;35;740893406;307474563
9;"MT";102;80;69;2092673640;719336253
9;"PA";127;86;50;18111660994;1267315087
9;"PB";28;27;14;3779163;8695095
9;"PE";227;71;25;56790727;86447847
9;"PI";13;15;17;56642296;25200477
9;"PR";713;160;154;2402404116;1522969260
9;"RJ";580;107;44;8679878706;3177855340
9;"RN";37;41;21;21144193;20926470
9;"RO";56;61;19;114643781;92819698
9;"RR";49;5;2;944867;676443
9;"RS";650;170;186;1628265513;1205234771
9;"SC";638;175;163;1807671233;1104390630
9;"SE";12;25;8;2556482;5825957
9;"SP";942;196;327;5848711292;4928720579
9;"TO";10;28;13;53519464;29608873
10;"AC";68;9;6;7676706;2237429
10;"AL";104;33;4;3427840;1590753
10;"AM";226;64;8;9528304;78503098
10;"AP";7;10;3;105701061;48771969
10;"BA";231;92;80;855685673;700630736
10;"CE";233;84;38;507076693;326816686
10;"DF";55;25;1;6385381;10457468
10;"ES";356;104;47;3737537439;887304926
10;"GO";137;92;53;726505132;522404848
10;"MA";140;36;12;772753312;361560185
10;"MG";534;139;211;13978521084;2132161409
10;"MS";320;82;31;767923537;295338278
10;"MT";41;81;69;2372245519;847208097
10;"PA";196;95;53;20351826071;1461229384
10;"PB";24;36;13;2644671;7173563
10;"PE";226;68;22;146183700;163261506
10;"PI";14;16;16;95991771;40514686
10;"PR";742;167;153;2805964592;1707294118
10;"RJ";595;117;43;9511259257;3974324764
10;"RN";40;43;25;30923003;27246556
10;"RO";64;55;16;46301936;70931461
10;"RR";63;4;2;2019623;892976
10;"RS";714;174;189;2128664771;1613124030
10;"SC";667;171;165;1840776963;1196644882
10;"SE";12;21;8;1830912;3854552
10;"SP";987;194;324;5472315542;5378118037
10;"TO";13;28;15;70971109;37948488
11;"AC";76;12;5;5756458;3026945
11;"AL";129;41;10;109231858;38783311
11;"AM";193;56;8;7667830;47479359
11;"AP";8;8;3;68104806;32147470
11;"BA";364;94;87;869271689;752029653
11;"CE";245;88;38;216539956;187060370
11;"DF";75;29;1;4096183;6716823
11;"ES";348;100;46;3684376716;972989566
11;"GO";168;92;50;498250461;442727709
11;"MA";166;37;11;549900965;175517259
11;"MG";510;135;219;12440944779;2129837999
11;"MS";338;84;33;976765221;395045491
11;"MT";40;78;71;3022151845;998487794
11;"ND";1;1;1;824415;133473
11;"PA";193;94;53;18835302689;1326761709
11;"PB";32;42;16;31017207;19562749
11;"PE";246;75;30;405908261;284604234
11;"PI";13;16;14;49296511;23686470
11;"PR";738;159;151;2752187193;3344470500
11;"RJ";604;115;42;6834477090;2421493680
11;"RN";37;41;26;46175391;28879172
11;"RO";70;56;18;73466585;86433012
11;"RR";54;3;2;2575835;1053878
11;"RS";725;166;186;1940515381;1404882879
11;"SC";663;171;162;1346953968;1053252782
11;"SE";17;27;7;2784749;5223144
11;"SP";992;203;326;5029203292;4728855975
11;"TO";13;31;17;49901427;27932536
12;"AC";77;16;5;33168424;13120520
12;"AL";103;28;9;135236095;37742649
12;"AM";205;57;10;7833720;37420160
12;"AP";7;8;4;56108986;15927050
12;"BA";347;95;86;1169581383;889678106
12;"CE";292;93;41;372659335;272479381
12;"DF";38;32;1;9151842;10739132
12;"ES";389;106;45;4019597823;881727093
12;"GO";128;91;53;714857370;514544229
12;"MA";220;38;14;671689039;288618884
12;"MG";506;138;211;11935114999;2094537426
12;"MS";353;82;32;780532920;326816896
12;"MT";47;85;74;3586063108;1079042041
